Sura_No,Verse_No,Word_No,Word,Normalized_Word,Verdict,Termination,Peel_Count,Peeled_Prefixes,Licenses,Stem_Surface,Stem_Pattern,Stem_Consonants,Closed_Form_Proof,Deferred_Candidate_Prefix,Root_Work,Root_Proven,Stem_Proof,Note,Trace_Anchor,Parent_Anchor
0,1,1,مَرَرْتُ,مَرَرْتُ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,مَرَرْتُ,CV·CVC·CV,4,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:1:1,aslot/axis3/0:1:1
0,1,2,بِزَيْدٍ,بِزَيْدِنْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,1,بِ,LIC:3,زَيْدِنْ,CVC·CVC,4,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:1:2,aslot/axis3/0:1:2
0,2,1,سِرْتُ,سِرْتُ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,سِرْتُ,CVC·CV,3,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:2:1,aslot/axis3/0:2:1
0,2,2,مِنَ,مِنَ,DEFER,DEFER_UNRESOLVED_CLOSURE,0,,,,,0,UNRESOLVED,,NONE,NO,NOT_CLAIMED,"شهاداتٌ متعارضة: ['حرف', 'مبنيّ']",aslot/axis4/0:2:2,aslot/axis3/0:2:2
0,2,3,الْبَيْتِ,ءَلْبَيْتِ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,ءَلْبَيْتِ,CVC·CVC·CV,5,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:2:3,aslot/axis3/0:2:3
0,3,1,سِرْتُ,سِرْتُ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,سِرْتُ,CVC·CV,3,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:3:1,aslot/axis3/0:3:1
0,3,2,إِلَى,إِلَاْ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,إِلَاْ,CV·CVV,2,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:3:2,aslot/axis3/0:3:2
0,3,3,الْبَيْتِ,ءَلْبَيْتِ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,ءَلْبَيْتِ,CVC·CVC·CV,5,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:3:3,aslot/axis3/0:3:3
0,4,1,الْمَاءُ,ءَلْمَاْءُ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,ءَلْمَاْءُ,CVC·CVV·CV,4,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:4:1,aslot/axis3/0:4:1
0,4,2,فِي,فِيْ,ACCEPT,CLOSED_REMAINDER,0,,,,,0,PROVEN,,NONE,NO,NOT_CLAIMED,صورةٌ مغلقة مبرهنة — كلمةٌ تامّة لا جذع,aslot/axis4/0:4:2,aslot/axis3/0:4:2
0,4,3,الْكُوزِ,ءَلْكُوْزِ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,ءَلْكُوْزِ,CVC·CVV·CV,4,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:4:3,aslot/axis3/0:4:3
0,5,1,رَمَيْتُ,رَمَيْتُ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,رَمَيْتُ,CV·CVC·CV,4,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:5:1,aslot/axis3/0:5:1
0,5,2,السَّهْمَ,ءَسْسَهْمَ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,ءَسْسَهْمَ,CVC·CVC·CV,5,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:5:2,aslot/axis3/0:5:2
0,5,3,عَنِ,عَنِ,ACCEPT,CLOSED_REMAINDER,0,,,,,0,PROVEN,,NONE,NO,NOT_CLAIMED,صورةٌ مغلقة مبرهنة — كلمةٌ تامّة لا جذع,aslot/axis4/0:5:3,aslot/axis3/0:5:3
0,5,4,الْقَوْسِ,ءَلْقَوْسِ,ACCEPT,STEM_NOT_FURTHER_PEELABLE,0,,,ءَلْقَوْسِ,CVC·CVC·CV,5,NOT_MATCHED,,NONE,NO,NOT_CLAIMED,,aslot/axis4/0:5:4,aslot/axis3/0:5:4
