Sura_No,Verse_No,Word_No,Word,Normalized_Word,Closed_Form_Proof,Eligibility,Operator_Role,Word_Class,Next_Route,Matched_Entry_Ids,Note,Trace_Anchor,Parent_Anchor
0,1,1,مَرَرْتُ,مَرَرْتُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:1,aslot/axis1/0:1:1
0,1,2,بِزَيْدٍ,بِزَيْدِنْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:1:2,aslot/axis1/0:1:2
0,2,1,سِرْتُ,سِرْتُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:2:1,aslot/axis1/0:2:1
0,2,2,مِنَ,مِنَ,UNRESOLVED,ACCEPT,NO,,DEFER_UNRESOLVED_CLOSURE,DW:110|DW:111,"شهاداتٌ متعارضة: ['حرف', 'مبنيّ']",aslot/axis2/0:2:2,aslot/axis1/0:2:2
0,2,3,الْبَيْتِ,ءَلْبَيْتِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:2:3,aslot/axis1/0:2:3
0,3,1,سِرْتُ,سِرْتُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:3:1,aslot/axis1/0:3:1
0,3,2,إِلَى,إِلَاْ,NOT_MATCHED,OWNER_DECISION_REQUIRED,NO,,DEFER_UNRESOLVED_CLOSURE,DW:35,في فهرس الدليل لا في فهرس المطابقة — دليلٌ لا يُطابَق,aslot/axis2/0:3:2,aslot/axis1/0:3:2
0,3,3,الْبَيْتِ,ءَلْبَيْتِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:3:3,aslot/axis1/0:3:3
0,4,1,الْمَاءُ,ءَلْمَاْءُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:4:1,aslot/axis1/0:4:1
0,4,2,فِي,فِيْ,PROVEN,ACCEPT,YES,حرف,STOP_CLOSED_FORM,DW:70,,aslot/axis2/0:4:2,aslot/axis1/0:4:2
0,4,3,الْكُوزِ,ءَلْكُوْزِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:4:3,aslot/axis1/0:4:3
0,5,1,رَمَيْتُ,رَمَيْتُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:5:1,aslot/axis1/0:5:1
0,5,2,السَّهْمَ,ءَسْسَهْمَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:5:2,aslot/axis1/0:5:2
0,5,3,عَنِ,عَنِ,PROVEN,ACCEPT,YES,حرف,STOP_CLOSED_FORM,DW:67,,aslot/axis2/0:5:3,aslot/axis1/0:5:3
0,5,4,الْقَوْسِ,ءَلْقَوْسِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:5:4,aslot/axis1/0:5:4
0,6,2,لَأَشْرَبَنَّ,لَأَشْرَبَنْنَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:6:2,aslot/axis1/0:6:2
0,7,2,لَأَفْعَلَنَّ,لَأَفْعَلَنْنَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:7:2,aslot/axis1/0:7:2
0,8,2,لَأَضْرِبَنَّ,لَأَضْرِبَنْنَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:8:2,aslot/axis1/0:8:2
0,8,3,زَيْدًا,زَيْدَنْاْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:8:3,aslot/axis1/0:8:3
0,9,1,الْمَالُ,ءَلْمَاْلُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:9:1,aslot/axis1/0:9:1
0,9,2,لِزَيْدٍ,لِزَيْدِنْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:9:2,aslot/axis1/0:9:2
0,10,1,رُبَّ,رُبْبَ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:10:1,aslot/axis1/0:10:1
0,10,2,رَجُلٍ,رَجُلِنْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:10:2,aslot/axis1/0:10:2
0,10,3,كَرِيمٍ,كَرِيْمِنْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:10:3,aslot/axis1/0:10:3
0,10,4,لَقِيتُهُ,لَقِيْتُهُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:10:4,aslot/axis1/0:10:4
0,11,1,وَلَيْلٍ,وَلَيْلِنْ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:11:1,aslot/axis1/0:11:1
0,11,2,كَمَوْجِ,كَمَوْجِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:11:2,aslot/axis1/0:11:2
0,11,3,الْبَحْرِ,ءَلْبَحْرِ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:11:3,aslot/axis1/0:11:3
0,12,1,الْكِتَابُ,ءَلْكِتَاْبُ,NOT_MATCHED,BLOCK,NO,,CONTINUE,,,aslot/axis2/0:12:1,aslot/axis1/0:12:1
